province/state,country/region,lat,long,total_infected
,Afghanistan,33.93911,67.709953,129988469
,Albania,41.1533,20.1683,185562654
,Algeria,28.0339,1.6596,182741650
,Andorra,42.5063,1.5218,24547525
,Angola,-11.2027,17.8739,60025203
,Antarctica,-71.9499,23.347,4961
,Antigua and Barbuda,17.0608,-61.7964,4310255
,Argentina,-38.4161,-63.6167,5625482921
,Armenia,40.0691,45.0382,285491323
Australian Capital Territory,Australia,-35.4735,149.0124,68002520
New South Wales,Australia,-33.8688,151.2093,1235098031
Northern Territory,Australia,-12.4634,130.8456,33394958
Queensland,Australia,-27.4698,153.0251,557839164
South Australia,Australia,-34.9285,138.6007,253224568
Tasmania,Australia,-42.8821,147.3272,81996866
Victoria,Australia,-37.8136,144.9631,927696252
Western Australia,Australia,-31.9505,115.8605,351612522
,Austria,47.5162,14.5501,2210457634
,Azerbaijan,40.1431,47.5769,493546661
,Bahamas,25.025885,-78.035889,21502145
,Bahrain,26.0275,50.55,357306683
,Bangladesh,23.685,90.3563,1309367681
,Barbados,13.1939,-59.5432,39648490
,Belarus,53.7098,27.9534,593651097
,Belgium,50.8333,4.469936,2280497649
,Belize,17.1899,-88.4976,34174927
,Benin,9.3077,2.3158,16903440
,Bhutan,27.5142,90.4336,22329795
,Bolivia,-16.2902,-63.5887,605712604
,Bosnia and Herzegovina,43.9159,17.6791,247573190
,Botswana,-22.3285,24.6849,171155988
,Brazil,-14.235,-51.9253,21182690594
,Brunei,4.5353,114.7277,80268412
,Bulgaria,42.7339,25.4858,683611436
,Burkina Faso,12.2383,-1.5616,14552323
,Burma,21.9162,95.956,374668250
,Burundi,-3.3731,29.9189,23149109
,Cabo Verde,16.5388,-23.0418,37537089
,Cambodia,11.55,104.9167,79416169
,Cameroon,3.848,11.5021,83367548
Alberta,Canada,53.9333,-116.5765,340124808
British Columbia,Canada,53.7267,-127.6476,216670574
Diamond Princess,Canada,0.0,0.0,32
Grand Princess,Canada,0.0,0.0,14133
Manitoba,Canada,53.7609,-98.8139,81375007
New Brunswick,Canada,46.5653,-66.4619,30028058
Newfoundland and Labrador,Canada,53.1355,-57.6604,19711484
Northwest Territories,Canada,64.8255,-124.8457,4789531
Nova Scotia,Canada,44.682,-63.7443,45907761
Nunavut,Canada,70.2998,-83.1076,1624401
Ontario,Canada,51.2538,-85.3232,784687843
Prince Edward Island,Canada,46.5107,-63.4168,17532450
